id,paragraph,section,is_footnote,content
058f6912f8fe144f,,"The following amended standard will be effective on December 15, 2026. See Appendix 5 of ; see also .",False,"Section: The following amended standard will be effective on December 15, 2026. See Appendix 5 of ; see also .

View the standard effective for audits of financial statements for fiscal years beginning on or after December 15, 2024, not including amendments effective on December 15, 2026."
2ae149d2f03a73d9,.01,Introduction,False,"Section: Introduction

Paragraph: .01

.01 This standard establishes requirements regarding planning an audit."
40279eff6bdd0c94,.02,Objective,False,"Section: Objective

Paragraph: .02

.02 The objective of the auditor is to plan the audit so that the audit is conducted effectively."
f5f60b2c5bf0ae9c,.03,Responsibility of the Engagement Partner for Planning,False,"Section: Responsibility of the Engagement Partner for Planning

Paragraph: .03

.03 The engagement partner is responsible for the engagement and its performance. Accordingly, the engagement partner is responsible for planning the audit and may seek assistance from appropriate engagement team members (which may include engagement team members outside the engagement partner’s firm) in fulfilling this responsibility. Engagement team members who assist the engagement partner with audit planning also should comply with the relevant requirements in this standard.
Note: When the engagement partner seeks assistance, the engagement partner nevertheless retains primary responsibility for the engagement and its performance. The assistance provided by appropriate engagement team members to supervise, including review, the work of other engagement team members does not replace or reduce the engagement partner’s responsibility."
328db7f72f4c3c42,.04,Planning an Audit,False,"Section: Planning an Audit

Paragraph: .04

.04 The auditor should properly plan the audit. This standard describes the auditor’s responsibilities for properly planning the audit. For audits that involve other auditors or referred-to auditors, this standard describes additional responsibilities for the engagement partner and the lead auditor."
4ed41e9f11596d08,.05,Planning an Audit,False,"Section: Planning an Audit

Paragraph: .05

.05 Planning the audit includes establishing the overall audit strategy for the engagement and developing an audit plan, which includes, in particular, planned risk assessment procedures and planned responses to the risks of material misstatement. Planning is not a discrete phase of an audit but, rather, a continual and iterative process that might begin shortly after (or in connection with) the completion of the previous audit and continues until the completion of the current audit."
815709e6550eab38,.06,Preliminary Engagement Activities,False,"Section: Preliminary Engagement Activities

Paragraph: .06

.06 The auditor should perform the following activities at the beginning of the audit:
Perform procedures regarding the continuance of the engagement,
Determine compliance with independence and ethics requirements,and
Note: The determination of compliance with independence and ethics requirements is not limited to preliminary engagement activities and should be reevaluated with changes in circumstances.
Establish an understanding of the terms of the audit engagement with the audit committee in accordance with AS 1301, Communications with Audit Committees."
9f7641d1583d173c,.06A,Serving as the Lead Auditor in an Audit that Involves Other Auditors or Referred-to Auditors,False,"Section: Serving as the Lead Auditor in an Audit that Involves Other Auditors or Referred-to Auditors

Paragraph: .06A

.06A In an audit that involves other auditors or referred-to auditors, the engagement partner should determine whether the participation of his or her firm is sufficient for the firm to carry out the responsibilities of a lead auditor and to report as such on the company’s financial statements. In making this determination, the engagement partner should take into account the following, in combination:
The importance of the locations or business units for which the engagement partner’s firm performs audit procedures in relation to the financial statements of the company as a whole, considering quantitative and qualitative factors;"
ec051c8b2f0dceb5,.06A,Serving as the Lead Auditor in an Audit that Involves Other Auditors or Referred-to Auditors,False,"Section: Serving as the Lead Auditor in an Audit that Involves Other Auditors or Referred-to Auditors

Paragraph: .06A

The risks of material misstatement associated with the portion of the company’s financial statements for which the engagement partner’s firm performs audit procedures, in comparison with the portions for which the other auditors perform audit procedures or the portions audited by the referred-to auditors; and
The extent of the engagement partner’s firm’s supervision of the other auditors’ work for portions of the company’s financial statements for which the other auditors perform audit procedures. In a multi-tiered audit (see AS 1201.14), this subparagraph c applies only to the firm’s supervision of a first other auditor and any other auditor that is supervised directly by the firm."
f302a77e9e8c6624,.06A,Serving as the Lead Auditor in an Audit that Involves Other Auditors or Referred-to Auditors,False,"Section: Serving as the Lead Auditor in an Audit that Involves Other Auditors or Referred-to Auditors

Paragraph: .06A

In addition, in an audit that involves referred-to auditors (see AS 1206), the participation of the engagement partner’s firm ordinarily is not sufficient for it to serve as lead auditor if the referred-to auditors, in aggregate, audit more than 50 percent of the company’s assets or revenues."
