id,paragraph,section,is_footnote,content
2c6c6530a77c8630,.01,Introduction,False,"Section: Introduction

Paragraph: .01

.01 This standard establishes requirements regarding the process of identifying and assessing risks of material misstatement of the financial statements."
903f7ec9704aa764,.02,Introduction,False,"Section: Introduction

Paragraph: .02

.02 Paragraphs .04-.58 of this standard discuss the auditor's responsibilities for performing risk assessment procedures. Paragraphs .59-.73 of this standard discuss identifying and assessing the risks of material misstatement using information obtained from performing risk assessment procedures."
ff8f9e9a9d42fb70,.03,Objective,False,"Section: Objective

Paragraph: .03

.03 The objective of the auditor is to identify and appropriately assess the risks of material misstatement, thereby providing a basis for designing and implementing responses to the risks of material misstatement."
99b78447b9341c10,.04,Performing Risk Assessment Procedures,False,"Section: Performing Risk Assessment Procedures

Paragraph: .04

.04 The auditor should perform risk assessment procedures that are sufficient to provide a reasonable basis for identifying and assessing the risks of material misstatement, whether due to error or fraud, and designing further audit procedures."
61ac75520d72bc15,.05,Performing Risk Assessment Procedures,False,"Section: Performing Risk Assessment Procedures

Paragraph: .05

.05 Risks of material misstatement can arise from a variety of sources, including external factors, such as conditions in the company’s industry and environment, and company-specific factors, such as the nature of the company, its activities, and internal control over financial reporting. For example, external or company-specific factors can affect the judgments involved in determining accounting estimates or create pressures to manipulate the financial statements to achieve certain financial targets. Also, risks of material misstatement may relate to, e.g., personnel who lack the necessary financial reporting competencies, information systems that fail to accurately capture business transactions, or financial reporting processes that are not adequately aligned with the requirements in the applicable financial reporting framework"
20f6017e770f66da,.05,Performing Risk Assessment Procedures,False,"Section: Performing Risk Assessment Procedures

Paragraph: .05

. Thus, the audit procedures that are necessary to identify and appropriately assess the risks of material misstatement include consideration of both external factors and company-specific factors. This standard discusses the following risk assessment procedures:"
ddce585ba75ec901,.05,Performing Risk Assessment Procedures,False,"Section: Performing Risk Assessment Procedures

Paragraph: .05

Obtaining an understanding of the company and its environment (paragraphs .07-.17);
Obtaining an understanding of internal control over financial reporting (paragraphs .18-.40);
Considering information from the acceptance and continuance of engagements evaluation, audit planning activities, past audits, and other engagements performed for the company (paragraphs .41-.45);
Performing analytical procedures (paragraphs .46-.48);
Conducting a discussion among engagement team members regarding the risks of material misstatement (paragraphs .49- .53); and
Inquiring of the audit committee, management, and others within the company about the risks of material misstatement (paragraphs .54-.58)."
c1ea1ac82f8ca555,.05,Performing Risk Assessment Procedures,False,"Section: Performing Risk Assessment Procedures

Paragraph: .05

Inquiring of the audit committee, management, and others within the company about the risks of material misstatement (paragraphs .54-.58).
Note: This standard describes an approach to identifying and assessing risks of material misstatement that begins at the financial statement level and with the auditor's overall understanding of the company and its environment and works down to the significant accounts and disclosures and their relevant assertions."
f48e427cf383dc03,.06,Performing Risk Assessment Procedures,False,"Section: Performing Risk Assessment Procedures

Paragraph: .06

.06 In an integrated audit, the risks of material misstatement of the financial statements are the same for both the audit of internal control over financial reporting and the audit of financial statements. The auditor's risk assessment procedures should apply to both the audit of internal control over financial reporting and the audit of financial statements."
4e1481d0378b9acf,.07,Obtaining an Understanding of the Company and Its Environment,False,"Section: Obtaining an Understanding of the Company and Its Environment

Paragraph: .07

.07 The auditor should obtain an understanding of the company and its environment (""understanding of the company"") to understand the events, conditions, and company activities that might reasonably be expected to have a significant effect on the risks of material misstatement. Obtaining an understanding of the company includes understanding:
Relevant industry, regulatory, and other external factors;
The nature of the company;
The company's selection and application of accounting principles, including related disclosures;
The company's objectives and strategies and those related business risks that might reasonably be expected to result in risks of material misstatement; and
The company's measurement and analysis of its financial performance."
25f5a91d3be7cf06,.08,Obtaining an Understanding of the Company and Its Environment,False,"Section: Obtaining an Understanding of the Company and Its Environment

Paragraph: .08

.08 In obtaining an understanding of the company, the auditor should evaluate whether significant changes in the company from prior periods, including changes in its internal control over financial reporting, affect the risks of material misstatement."
41302f546e901adf,.09,"Industry, Regulatory, and Other External Factors",False,"Section: Industry, Regulatory, and Other External Factors

Paragraph: .09

.09 Obtaining an understanding of relevant industry, regulatory, and other external factors encompasses industry factors, including the competitive environment and technological developments; the regulatory environment, including the applicable financial reporting framework and the legal and political environment; and external factors, including general economic conditions."
3f12c09c50b82582,.10,Nature of the Company,False,"Section: Nature of the Company

Paragraph: .10

.10 Obtaining an understanding of the nature of the company includes understanding:
The company's organizational structure and management personnel;
The sources of funding of the company's operations and investment activities, including the company's capital structure, noncapital funding (e.g., subordinated debt or dependencies on supplier financing), and other debt instruments;
The company's significant investments, including equity method investments, joint ventures, and variable interest entities;
The company's operating characteristics, including its size and complexity;"
b6480ef4d754b25f,,Note: The size and complexity of a company might affect the risks of misstatement and how the company addresses those risks.,False,"Section: Note: The size and complexity of a company might affect the risks of misstatement and how the company addresses those risks.

The sources of the company's earnings, including the relative profitability of key products and services; and
Key supplier and customer relationships."
6f227f2972c4413d,.10A,Note: The size and complexity of a company might affect the risks of misstatement and how the company addresses those risks.,False,"Section: Note: The size and complexity of a company might affect the risks of misstatement and how the company addresses those risks.

Paragraph: .10A

.10A To assist in obtaining information for identifying and assessing risks of material misstatement of the financial statements associated with a company's financial relationships and transactions with its executive officers (e.g., executive compensation, including perquisites, and any other arrangements), the auditor should perform procedures to obtain an understanding of the company's financial relationships and transactions with its executive officers"
71180fff7b7cef5e,.10A,Note: The size and complexity of a company might affect the risks of misstatement and how the company addresses those risks.,False,"Section: Note: The size and complexity of a company might affect the risks of misstatement and how the company addresses those risks.

Paragraph: .10A

. The procedures should be designed to identify risks of material misstatement and should include, but not be limited to (1) reading the employment and compensation contracts between the company and its executive officers and (2) reading the proxy statements and other relevant company filings with the Securities and Exchange Commission and other regulatory agencies that relate to the company's financial relationships and transactions with its executive officers."
601e7858857caf79,.11,Note: The size and complexity of a company might affect the risks of misstatement and how the company addresses those risks.,False,"Section: Note: The size and complexity of a company might affect the risks of misstatement and how the company addresses those risks.

Paragraph: .11

.11 As part of obtaining an understanding of the company as required by paragraph .07, the auditor should consider performing the following procedures and the extent to which the procedures should be performed:
Reading public information about the company relevant to the evaluation of the likelihood of material financial statement misstatements and, in an integrated audit, the effectiveness of the company's internal control over financial reporting, e.g., company-issued press releases, company-prepared presentation materials for analysts or investor groups, and analyst reports;
Observing or reading transcripts of earnings calls and, to the extent publicly available, other meetings with investors or rating agencies;"
a44c4eb70f1753dd,.11,Note: The size and complexity of a company might affect the risks of misstatement and how the company addresses those risks.,False,"Section: Note: The size and complexity of a company might affect the risks of misstatement and how the company addresses those risks.

Paragraph: .11

Observing or reading transcripts of earnings calls and, to the extent publicly available, other meetings with investors or rating agencies;
Obtaining an understanding of compensation arrangements with senior management other than executive officers referred to in paragraph .10A, including incentive compensation arrangements, changes or adjustments to those arrangements, and special bonuses;
Obtaining information about trading activity in the company's securities and holdings in the company's securities by significant holders to identify potentially significant unusual developments (e.g., from Forms 3, 4, 5, 13D, and 13G);"
82739f5bde165680,.11,Note: The size and complexity of a company might affect the risks of misstatement and how the company addresses those risks.,False,"Section: Note: The size and complexity of a company might affect the risks of misstatement and how the company addresses those risks.

Paragraph: .11

Inquiring of the chair of the compensation committee, or the compensation committee's equivalent, and any compensation consultants engaged by either the compensation committee or the company regarding the structuring of the company's compensation for executive officers; and
Obtaining an understanding of established policies and procedures regarding the authorization and approval of executive officer expense reimbursements."
7d0ce63f9a5c2c88,.11A,Note: The size and complexity of a company might affect the risks of misstatement and how the company addresses those risks.,False,"Section: Note: The size and complexity of a company might affect the risks of misstatement and how the company addresses those risks.

Paragraph: .11A

.11A If the auditor serves as a referred-to auditor in a divided-responsibility audit, as part of obtaining an understanding of the company, the referred-to auditor should consider making inquiries of the lead auditor as to matters that may be significant to the referred-to auditor’s own audit. Such matters may include transactions, adjustments, or other matters that have come to the attention of the lead auditor and that may require adjustment to or disclosure in the financial statements audited by the referred-to auditor."
e9f8b4165d6082ea,.12,"Selection and Application of Accounting Principles, Including Related Disclosures",False,"Section: Selection and Application of Accounting Principles, Including Related Disclosures

Paragraph: .12

.12 As part of obtaining an understanding of the company's selection and application of accounting principles, including related disclosures, the auditor should evaluate whether the company's selection and application of accounting principles are appropriate for its business and consistent with the applicable financial reporting framework and accounting principles used in the relevant industry. Also, to identify and assess risks of material misstatement related to omitted, incomplete, or inaccurate disclosures, the auditor should develop expectations about the disclosures that are necessary for the company's financial statements to be presented fairly in conformity with the applicable financial reporting framework."
21c4abdd7668f71a,.13,"Selection and Application of Accounting Principles, Including Related Disclosures",False,"Section: Selection and Application of Accounting Principles, Including Related Disclosures

Paragraph: .13

.13 The following matters, if present, are relevant to the necessary understanding of the company's selection and application of accounting principles, including related disclosures:
Significant changes in the company's accounting principles, financial reporting policies, or disclosures and the reasons for such changes;
The financial reporting competencies of personnel involved in selecting and applying significant new or complex accounting principles;
The accounts or disclosures for which judgment is used in the application of significant accounting principles, especially in determining management's estimates and assumptions;
The effect of significant accounting principles in controversial or emerging areas for which there is a lack of authoritative guidance or consensus;"
12182a3fdfd44998,.13,"Selection and Application of Accounting Principles, Including Related Disclosures",False,"Section: Selection and Application of Accounting Principles, Including Related Disclosures

Paragraph: .13

The effect of significant accounting principles in controversial or emerging areas for which there is a lack of authoritative guidance or consensus;
The methods the company uses to account for significant transactions that are outside the normal course of business for the company or that otherwise appear to be unusual due to their timing, size, or nature (""significant unusual transactions""); and
Financial reporting standards and laws and regulations that are new to the company, including when and how the company will adopt such requirements."
c1212abf544a17af,.14,"Company Objectives, Strategies, and Related Business Risks",False,"Section: Company Objectives, Strategies, and Related Business Risks

Paragraph: .14

.14 The purpose of obtaining an understanding of the company's objectives, strategies, and related business risks is to identify business risks that could reasonably be expected to result in material misstatement of the financial statements.
Note: Some relevant business risks might be identified through other risk assessment procedures, such as obtaining an understanding of the nature of the company and understanding industry, regulatory, and other external factors."
842d1913583cb35b,.15,"Company Objectives, Strategies, and Related Business Risks",False,"Section: Company Objectives, Strategies, and Related Business Risks

Paragraph: .15

.15 The following are examples of situations in which business risks might result in material misstatement of the financial statements:
Industry developments (a potential related business risk might be, e.g., that the company does not have the personnel or expertise to deal with the changes in the industry.)
New products and services (a potential related business risk might be, e.g., that the new product or service will not be successful.)
Use of information technology (""IT"") (a potential related business risk might be, e.g., that systems and processes are incompatible.)
New accounting requirements (a potential related business risk might be, e.g., incomplete or improper implementation of a new accounting requirement.)
Expansion of the business (a potential related business risk might be, e.g., that the demand for the company's products or services has not been accurately estimated.)"
8f7e2c27f44499fb,.15,"Company Objectives, Strategies, and Related Business Risks",False,"Section: Company Objectives, Strategies, and Related Business Risks

Paragraph: .15

The effects of implementing a strategy, particularly any effects that will lead to new accounting requirements (a potential related business risk might be, e.g., incomplete or improper implementation of the strategy.)
Current and prospective financing requirements (a potential related business risk might be, e.g., the loss of financing due to the company's inability to meet financing requirements.)
Regulatory requirements (a potential related business risk might be, e.g., that there is increased legal exposure.)"
8a14a7211e109134,.15,"Company Objectives, Strategies, and Related Business Risks",False,"Section: Company Objectives, Strategies, and Related Business Risks

Paragraph: .15

Note: Business risks could affect risks of material misstatement at the financial statement level, which would affect many accounts and disclosures in the financial statements. For example, a company's loss of financing or declining conditions affecting the company's industry could affect its ability to settle its obligations when due. This, in turn, could affect the risks of material misstatement related to, e.g., the classification of long-term liabilities or valuation of long-term assets, or it could result in substantial doubt about the company's ability to continue as a going concern. Other business risks could affect the risks of material misstatement for particular accounts, disclosures, or assertions"
9a3c96f0e9d76da9,.15,"Company Objectives, Strategies, and Related Business Risks",False,"Section: Company Objectives, Strategies, and Related Business Risks

Paragraph: .15

. Other business risks could affect the risks of material misstatement for particular accounts, disclosures, or assertions. For example, an unsuccessful new product or service or failed business expansion might affect the risks of material misstatement related to the valuation of inventory and other related assets."
406046e28e798c98,.16,Company Performance Measures,False,"Section: Company Performance Measures

Paragraph: .16

.16 The purpose of obtaining an understanding of the company's performance measures is to identify performance measures, whether external or internal, that affect the risks of material misstatement."
b857880f6c80d3aa,.17,Company Performance Measures,False,"Section: Company Performance Measures

Paragraph: .17

.17 The following are examples of performance measures that might affect the risks of material misstatement:
Measures that form the basis for contractual commitments or incentive compensation arrangements;
Measures used by external parties, such as analysts and rating agencies, to review the company's performance; and
Measures the company uses to monitor its operations that highlight unexpected results or trends that prompt management to investigate their cause and take corrective action, including correction of misstatements."
031babfef706c83f,.17,Company Performance Measures,False,"Section: Company Performance Measures

Paragraph: .17

Note: The first two examples represent performance measures that can affect the risks of material misstatement by creating incentives or pressures for management of the company to manipulate certain accounts or disclosures to achieve certain performance targets (or conceal a failure to achieve those targets). The third example represents performance measures that management might use to monitor risks affecting the financial statements.
Note: Smaller companies might have less formal processes to measure and review financial performance. In such cases, the auditor might identify relevant performance measures by considering the information that the company uses to manage the business."
48a55158d7e53659,.18,Obtaining an Understanding of Internal Control Over Financial Reporting,False,"Section: Obtaining an Understanding of Internal Control Over Financial Reporting

Paragraph: .18

.18 The auditor should obtain a sufficient understanding of each component of internal control over financial reporting (""understanding of internal control"") to (a) identify the types of potential misstatements, (b) assess the factors that affect the risks of material misstatement, and (c) design further audit procedures."
cb39761bbba56ac5,.19,Obtaining an Understanding of Internal Control Over Financial Reporting,False,"Section: Obtaining an Understanding of Internal Control Over Financial Reporting

Paragraph: .19

.19 The nature, timing, and extent of procedures that are necessary to obtain an understanding of internal control depend on the size and complexity of the company; the auditor's existing knowledge of the company's internal control over financial reporting; the nature of the company's controls, including the company's use of IT; the nature and extent of changes in systems and operations; and the nature of the company's documentation of its internal control over financial reporting.
Note: The auditor also might obtain an understanding of certain controls that are not part of internal control over financial reporting, e.g., controls over the completeness and accuracy of operating or other nonfinancial information used as audit evidence."
0549d31b7132f820,.20,Obtaining an Understanding of Internal Control Over Financial Reporting,False,"Section: Obtaining an Understanding of Internal Control Over Financial Reporting

Paragraph: .20

.20 Obtaining an understanding of internal control includes evaluating the design of controls that are relevant to the audit and determining whether the controls have been implemented.
Note: Procedures the auditor performs to obtain evidence about design effectiveness include inquiry of appropriate personnel, observation of the company's operations, and inspection of relevant documentation. Walkthroughs, as described in paragraphs .37-.38, that include these procedures ordinarily are sufficient to evaluate design effectiveness."
794f0d158c83752d,.20,Obtaining an Understanding of Internal Control Over Financial Reporting,False,"Section: Obtaining an Understanding of Internal Control Over Financial Reporting

Paragraph: .20

Note: Determining whether a control has been implemented means determining whether the control exists and whether the company is using it. The procedures to determine whether a control has been implemented may be performed in connection with the evaluation of its design. Procedures performed to determine whether a control has been implemented include inquiry of appropriate personnel, in combination with observation of the application of controls or inspection of documentation. Walkthroughs, as described in paragraphs .37-.38, that include these procedures ordinarily are sufficient to determine whether a control has been implemented."
3be6ce4234baa67e,.21,Obtaining an Understanding of Internal Control Over Financial Reporting,False,"Section: Obtaining an Understanding of Internal Control Over Financial Reporting

Paragraph: .21

.21 Internal control over financial reporting can be described as consisting of the following components:
The control environment,
The company's risk assessment process,
Information and communication,
Control activities, and
Monitoring of controls."
f9a8701e24626b02,.22,Obtaining an Understanding of Internal Control Over Financial Reporting,False,"Section: Obtaining an Understanding of Internal Control Over Financial Reporting

Paragraph: .22

.22 Management might use an internal control framework with components that differ from the components identified in the preceding paragraph when establishing and maintaining the company's internal control over financial reporting. In evaluating the design of controls and determining whether they have been implemented in an audit of financial statements only, the auditor may use the framework used by management or another suitable, recognized framework"
c7983c43c41c43b8,.22,Obtaining an Understanding of Internal Control Over Financial Reporting,False,"Section: Obtaining an Understanding of Internal Control Over Financial Reporting

Paragraph: .22

. For integrated audits, AS 2201, states, ""The auditor should use the same suitable, recognized control framework to perform his or her audit of internal control over financial reporting as management uses for its annual evaluation of the effectiveness of the company's internal control over financial reporting."" If the auditor uses a suitable, recognized internal control framework with components that differ from those listed in the preceding paragraph, the auditor should adapt the requirements in paragraphs .23-.36 of this standard to conform to the components in the framework used."
9ed161f73ebd2fb7,.23,Control Environment,False,"Section: Control Environment

Paragraph: .23

.23 The auditor should obtain an understanding of the company's control environment, including the policies and actions of management, the board, and the audit committee concerning the company's control environment."
069ec5498381169a,.24,Control Environment,False,"Section: Control Environment

Paragraph: .24

.24 Obtaining an understanding of the control environment includes assessing:
Whether management's philosophy and operating style promote effective internal control over financial reporting;
Whether sound integrity and ethical values, particularly of top management, are developed and understood; and
Whether the board or audit committee understands and exercises oversight responsibility over financial reporting and internal control.
Note: In an audit of financial statements only, this assessment may be based on the evidence obtained in understanding the control environment, in accordance with paragraph .23, and the other relevant knowledge possessed by the auditor. In an integrated audit of financial statements and internal control over financial reporting, AS 2201 describes the auditor's responsibility for evaluating the control environment."
776c5175bb513ab4,.25,Control Environment,False,"Section: Control Environment

Paragraph: .25

.25 If the auditor identifies a control deficiency in the company's control environment, the auditor should evaluate the extent to which this control deficiency is indicative of a fraud risk factor, as discussed in paragraphs .65-.66 of this standard."
